geoid,incomeclass,type,own,hh,mwh,hh_med_income,hh_gini_index,hu_rnt,hu_blt2010,pop_total,lihtc_qualified
53033001100,verylow,mf,own,3,7.236079400000001,64549,0.4275,0.6144668158090977,0.006711409395973154,2669,False
53033001200,verylow,mf,own,38,381.1531862,31863,0.5563,0.8603168469860897,0.015455950540958269,6556,True
53033001300,verylow,mf,own,7,132.48954619999998,56744,0.4617,0.7303479381443299,0.009342783505154639,4389,False
53033001600,verylow,mf,own,7,110.95220590000001,96193,0.4593,0.49236641221374045,0,4111,False
53033001701,verylow,mf,own,6,38.2664823,65188,0.4822,0.7395833333333334,0.024066091954022987,4055,False
53033001702,verylow,mf,own,6,80.2857453,62786,0.3992,0.6817507418397626,0.07937685459940653,4408,False
53033001800,verylow,mf,own,4,84.12086629999997,87159,0.3809,0.7378667397861256,0,5217,False
53033001900,verylow,mf,own,14,110.8078125,61391,0.5381,0.6595900439238653,0.06734992679355783,4723,False
53033002000,verylow,mf,own,1,57.443507200000006,80400,0.471,0.6634241245136187,0.018968871595330738,3600,False
53033002100,verylow,mf,own,0,0,85759,0.4243,0.5817060637204522,0.0035971223021582736,4148,False
53033002600,verylow,mf,own,2,62.9034218,91458,0.4041,0.625140712945591,0,4989,False
53033002900,verylow,mf,own,3,51.13353650000001,103750,0.4161,0.5901713255184852,0,4303,False
53033003000,verylow,mf,own,5,82.96549990000001,90789,0.3719,0.6183079973562459,0.005287508261731659,5719,False
53033003100,verylow,mf,own,3,36.966161,101397,0.3447,0.43514018691588785,0,6223,False
53033003200,verylow,mf,own,9,189.0075067,79681,0.4389,0.70199370409234,0.008394543546694649,8233,False
53033003300,verylow,mf,own,11,108.47289450000001,85595,0.3721,0.7530174340634779,0.021904336164506034,6572,False
53033003400,verylow,mf,own,1,14.9308641,97500,0.38,0.5809839690436706,0,3587,False
53033003500,verylow,mf,own,7,79.93945860000002,81563,0.4320000000000001,0.6342266102491773,0.003291020216267043,3960,False
53033004301,verylow,mf,own,2,44.002313,64797,0.5298,0.7086834733893558,0.008403361344537815,3548,False
53033004302,verylow,mf,own,24,125.760249,18908,0.5581,0.9791433891992551,0,3703,True
53033004400,verylow,mf,own,19,175.0525517,50500,0.5501,0.9252804487179487,0.016826923076923076,6607,True
53033004500,verylow,mf,own,0,0,88914,0.4242,0.7515822784810127,0,3052,False
53033004700,verylow,mf,own,10,189.4838628,72396,0.4451,0.8884168790710847,0.10804304729538375,8395,False
53033004800,verylow,mf,own,4,26.560994800000003,93155,0.3557,0.6751361161524501,0.0279491833030853,4772,False
53033004900,verylow,mf,own,5,8.8255457,71809,0.3756,0.8720185119259523,0.002313990744037024,6923,False
53033005000,verylow,mf,own,7,41.2808348,65625,0.4331,0.84,0.008440366972477064,3695,False
53033005100,verylow,mf,own,3,32.8580392,99083,0.4135,0.5929062996294335,0.007940709370037057,3726,False
53033005200,verylow,mf,own,26,70.2505972,38487,0.5936,0.9165909503906959,0.009812829365800472,6644,True
53033005301,verylow,mf,own,47,275.5218867,12269,0.6178,0.9948619139370585,0.02076643117105545,7377,True
53033005400,verylow,mf,own,1,28.4012969,84728,0.3705,0.7091577162238553,0.011023176936122103,5022,False
53033031909,verylow,mf,own,1,34.0089132,108265,0.3494,0.5025161754133717,0,3227,False
53033005600,verylow,mf,own,4,21.9705874,157292,0.3835,0.23641304347826086,0.008152173913043478,6424,False
53033005900,verylow,mf,own,4,51.5218448,87667,0.5038,0.68664563617245,0.007097791798107256,7705,False
53033006000,verylow,mf,own,2,33.8091682,96538,0.4729,0.7202599604408025,0.005651313930488839,5564,False
53033006500,verylow,mf,own,2,16.907723800000003,98617,0.5257,0.7649346058677978,0.01343230823612584,4449,False
53033006800,verylow,mf,own,3,22.1516897,98750,0.4898,0.6905702992659515,0.014116318464144552,3206,False
53033006900,verylow,mf,own,4,22.4987349,100172,0.4818,0.6827295110798453,0.01020049243756595,4727,False
53033007000,verylow,mf,own,13,87.5034863,67572,0.512,0.8477966101694915,0.006610169491525424,7503,False
53033007100,verylow,mf,own,6,50.840625,74143,0.4288,0.8898122499230533,0.12065250846414281,3780,False
53033007200,verylow,mf,own,16,38.495951299999994,74559,0.4549,0.91712158808933,0.10636889991728701,6798,False
53033007300,verylow,mf,own,17,67.79097990000001,76582,0.5035,0.9334432309911395,0.07768390686173501,5594,False
53033007401,verylow,mf,own,12,50.869522,67834,0.4326,0.8541756815231502,0.04954565123323237,5019,False
53033007500,verylow,mf,own,24,84.090289,63419,0.4182,0.8832965415746873,0.049153789551140546,7783,False
53033007600,verylow,mf,own,3,33.69833730000001,68199,0.4109,0.8171312032630863,0.014276002719238613,3871,False
53033007700,verylow,mf,own,4,12.448617599999999,104632,0.4121,0.6691639196883428,0.0239736290080911,5123,False
53033008001,verylow,mf,own,14,67.0146914,88068,0.4362,0.8455300251013709,0.026646070670013518,5967,False
53033008002,verylow,mf,own,19,38.87014300000001,37466,0.585,0.8905380333951762,0.037476808905380334,3469,True
53033027400,verylow,mf,own,7,62.43857610000001,60536,0.3888,0.6304526748971193,0.007407407407407408,5079,True
53033027500,verylow,mf,own,7,59.5713882,56406,0.3611,0.7196796338672768,0.006864988558352402,4828,False
53033028403,verylow,mf,own,14,118.30935349999999,31356,0.4195,0.8812339331619538,0,5232,True
53033008100,verylow,mf,own,15,32.0794675,75531,0.5292,0.9007044615900704,0.021804763502180476,4435,True
53033008200,verylow,mf,own,19,13.025083,56318,0.5317,0.9381324082104655,0.014455044810638912,3866,False
53033008300,verylow,mf,own,7,47.4661464,49291,0.4599,0.8557320738514383,0.0034349506225848005,2794,False
53033008400,verylow,mf,own,20,147.9023321,42339,0.5319,0.9383821932681867,0.052931596091205214,4127,False
53033008500,verylow,mf,own,14,112.36059569999999,29883,0.5928,0.9558011049723757,0.021704814522494082,4311,True
53033008600,verylow,mf,own,13,107.2565312,43375,0.4886,0.9021592442645074,0.057692307692307696,4890,True
53033008700,verylow,mf,own,4,33.385929600000004,56700,0.4292,0.8399881691807157,0.015084294587400177,4440,False
53033001400,verylow,mf,own,6,102.1678648,72428,0.3811,0.6920664785199122,0,5505,False
53033001500,verylow,mf,own,2,7.031092599999999,95927,0.3866,0.4227353463587922,0,2398,False
53033002200,verylow,mf,own,2,15.8262642,132981,0.4263,0.20715166461159062,0.03020961775585697,5622,False
53033002500,verylow,mf,own,10,95.107097,101413,0.4202,0.5151515151515151,0,2981,False
53033002700,verylow,mf,own,7,78.5365074,111661,0.4296,0.6081852791878173,0.025380710659898477,6027,False
53033002800,verylow,mf,own,2,103.8599946,90568,0.4061,0.6772175193227825,0,4727,False
53033003600,verylow,mf,own,10,230.75840500000004,65172,0.4772,0.8861439312567132,0.016756176154672394,6122,False
53033003900,verylow,mf,own,0,27.8459637,110458,0.3873,0.5723636363636364,0.009454545454545455,3080,False
53033004000,verylow,mf,own,3,40.0696527,75714,0.5404,0.6136690647482015,0.046762589928057555,3125,False
53033008800,verylow,mf,own,4,16.0497737,76524,0.3792,0.7547535894450912,0.0034924330616996507,3867,False
53033004100,verylow,mf,own,2,64.8377655,132917,0.491,0.6129554655870445,0.003778677462887989,7868,False
53033009200,verylow,mf,own,25,62.0447841,25625,0.557,0.9705128205128205,0.007692307692307693,2637,True
53033004200,verylow,mf,own,6,105.8769932,110091,0.4232,0.5648050579557429,0.004478398314014752,8176,False
53033004600,verylow,mf,own,6,41.9977096,113906,0.4251,0.5813186813186814,0.014835164835164835,3464,False
53033005302,verylow,mf,own,1,23.900389300000004,NA,0.6198,1,0.02158273381294964,5178,True
53033005700,verylow,mf,own,2,53.7069565,90951,0.448,0.6027315914489311,0.009501187648456057,6633,False
53033005801,verylow,mf,own,7,100.8587243,66563,0.393,0.777835859905907,0.010193413486670152,5212,False
53033005802,verylow,mf,own,5,17.810239499999994,62639,0.4301,0.8270833333333333,0.05520833333333333,5216,False
53033006100,verylow,mf,own,2,10.6521297,76980,0.4818,0.8022216201571389,0.00677323218639935,5219,False
53033006200,verylow,mf,own,2,3.5946084000000003,131429,0.4231,0.4708146247594612,0.005772931366260423,4063,False
53033006300,verylow,mf,own,3,17.6667315,132e3,0.5596,0.6186550976138828,0,4988,False
53033006400,verylow,mf,own,0,0,154868,0.433,0.5111591072714183,0.005759539236861051,3341,False
53033006600,verylow,mf,own,1,48.488294700000004,82154,0.4158,0.8967948717948718,0.023076923076923078,3585,False
53033006700,verylow,mf,own,4,22.2816069,88719,0.3574,0.8313112846933688,0.046701013794249624,7600,False
53033007800,verylow,mf,own,6,15.1932988,137358,0.5248,0.5379796397807362,0,5641,False
53033007900,verylow,mf,own,12,56.5259883,57786,0.5239,0.8284663140951943,0.029661991262359164,6216,False
53033008900,verylow,mf,own,5,24.7320147,79953,0.5322,0.7282495667244367,0.029462738301559793,4686,False
53033009100,verylow,mf,own,11,47.1424973,29464,0.4978,0.9910261412407335,0,2693,True
53033009300,verylow,mf,own,7,59.1175034,70458,0.4493,0.6947444204463643,0.02087832973362131,2832,False
53033009400,verylow,mf,own,21,55.9845068,47737,0.5202,0.7976570820021299,0.01650692225772098,5824,False
53033009500,verylow,mf,own,6,39.334475299999994,81676,0.5358,0.556038497361068,0.01055572803477181,6301,False
53033009701,verylow,mf,own,5,116.1234836,82333,0.4854,0.6837862048372648,0.007763511495968946,5751,False
53033029001,verylow,mf,own,11,151.58193529999997,58641,0.4181,0.528785679729076,0,4446,False
53033009702,verylow,mf,own,0,45.2624907,106319,0.3542,0.3095022624434389,0,5626,False
53033029306,verylow,mf,own,5,43.68651869999999,71029,0.3438,0.6465061655901351,0.03288314738696418,3368,False
53033009900,verylow,mf,own,4,16.491413700000006,67277,0.3731,0.6166211707612982,0.02305125872004853,5054,False
53033010001,verylow,mf,own,4,51.5056992,51316,0.4617,0.7531496062992126,0.015354330708661417,4207,False
53033010002,verylow,mf,own,7,26.088115600000002,66458,0.3996,0.8276983094928478,0,4763,False
53033010100,verylow,mf,own,11,72.5318584,59275,0.526,0.6793675479523069,0.021513737687921204,6756,False
53033010402,verylow,mf,own,5,17.866684499999995,79432,0.3897,0.8035465924895688,0.0027816411682892906,5218,False
53033010500,verylow,mf,own,18,90.8262344,66794,0.4444,0.7543260473588342,0.04485428051001821,6631,False
53033010600,verylow,mf,own,6,65.50506829999999,90208,0.4181,0.5644634330233727,0.008544860517718019,8079,False
53033029307,verylow,mf,own,0,14.3147766,94375,0.3151,0.3882602545968883,0,4264,False
53033010701,verylow,mf,own,12,37.2037139,55504,0.4748,0.8113074204946996,0.022614840989399292,3700,True
53033010702,verylow,mf,own,11,59.0391618,48036,0.4882,0.8705849889624724,0.01434878587196468,4393,True
53033010800,verylow,mf,own,8,45.50324120000001,74107,0.4053,0.6807181889149102,0.01366120218579235,4670,False
53033029403,verylow,mf,own,11,95.4927722,70114,0.3905,0.638623326959847,0.0034416826003824093,5707,False
53033010900,verylow,mf,own,3,96.1629892,42159,0.3964,0.7424657534246575,0,1055,True
53033011002,verylow,mf,own,7,51.2046973,47604,0.4972,0.8142514011208967,0,4722,True
53033011101,verylow,mf,own,7,35.079787100000004,52412,0.4049,0.7685921826357661,0.06641300588031823,5096,False
53033011200,verylow,mf,own,8,126.72750980000001,35425,0.4456,0.8484231943031536,0.002034587995930824,4174,True
53033011300,verylow,mf,own,11,80.0760805,47363,0.4392,0.769739844819717,0.03377453217708809,6969,False
53033011401,verylow,mf,own,4,11.7452627,54622,0.3704,0.7725752508361204,0,4041,False
53033011600,verylow,mf,own,10,39.65485640000001,102500,0.4693,0.5395869191049913,0.01549053356282272,6570,False
53033011700,verylow,mf,own,5,69.12557070000001,60917,0.4126,0.5673724735322425,0.004812319538017324,5456,False
