geoid,hu,hh_med_income,hh_gini_index,hu_rnt,hu_blt2010,pop_total,lihtc_qualified,MWh/hh_low_mf_own,MWh_low_mf_rnt,MWh_high_sf_own,hu_med_val,edu,citizen,black,sol_instl
53033001200,5176,31863,0.5563,0.8603168469860897,0.015455950540958269,6556,TRUE,11.89003068607595,6581.018698,2299.761631,311900,0.5640634533251982,0.19890176937156803,0.05613178767541183,1.5455950540958268
53033001300,3104,56744,0.4617,0.7303479381443299,0.009342783505154639,4389,FALSE,14.31810926923077,2602.6948432,2577.024919,306300,0.6290726817042607,0.09728867623604466,0.05217589428115744,1.610824742268041
53033001600,1834,96193,0.4593,0.49236641221374045,0,4111,FALSE,12.987970411111112,1347.4319423,3804.792425,657200,0.6869374847968864,0.06056920457309657,0.006081245439065921,15.267175572519083
53033001701,2784,65188,0.4822,0.7395833333333334,0.024066091954022987,4055,FALSE,18.04392936,2535.7834496,2921.183636,313500,0.6310727496917385,0.05474722564734895,0.034032059186189886,3.2327586206896552
53033001702,2696,62786,0.3992,0.6817507418397626,0.07937685459940653,4408,FALSE,13.039210140909091,2538.0113551000004,2453.31184,378700,0.6603901996370236,0.04310344827586207,0.014065335753176044,4.080118694362018
53033001800,3647,87159,0.3809,0.7378667397861256,0,5217,FALSE,10.673241633333333,2112.4743872999998,3995.661027,370200,0.5919110599961663,0.09104849530381445,0.0017251293847038527,1.9193857965451055
53033001900,2732,61391,0.5381,0.6595900439238653,0.06734992679355783,4723,FALSE,11.159896313333334,2552.4073986,3183.421755,374700,0.6282024137200931,0.0901969087444421,0.03260639424094855,1.8301610541727673
53033002e3,2056,80400,0.471,0.6634241245136187,0.018968871595330738,3600,FALSE,12.020160933333333,1719.3360539999999,2946.919433,442200,0.6713888888888889,0.04805555555555555,0.0016666666666666668,4.377431906614786
53033002100,1946,85759,0.4243,0.5817060637204522,0.0035971223021582736,4148,FALSE,9.503938699999999,1196.8965976,3137.310809,448500,0.6673095467695275,0.14271938283510124,0.020732883317261332,2.5693730729701953
53033002600,2665,91458,0.4041,0.625140712945591,0,4989,FALSE,15.578438150000002,1560.4982042000001,3616.195448,546400,0.6562437362196833,0.04670274604129084,0.02124674283423532,4.127579737335835
53033002900,2218,103750,0.4161,0.5901713255184852,0,4303,FALSE,21.20311991538461,1575.9565934,4463.165126,492300,0.6637229839646758,0.026493144317917734,0,12.173128944995492
53033003e3,3026,90789,0.3719,0.6183079973562459,0.005287508261731659,5719,FALSE,16.835178668421054,2102.6850916,5147.632252,496900,0.6135688057352684,0.03846826368246197,0.006294806784402867,7.931262392597489
53033003100,2675,101397,0.3447,0.43514018691588785,0,6223,FALSE,17.269484721052635,1562.0138902,6278.009663,497100,0.6583641330547967,0.032942310782580746,0.006749156355455568,7.4766355140186915
53033003200,4765,79681,0.4389,0.70199370409234,0.008394543546694649,8233,FALSE,15.818915246511628,3393.3532466,7121.740208,568000,0.7041175756103486,0.040932831288716144,0.0015790112960038867,7.76495278069255
