Class,CompletedDate,Latitude,Longitude,Installer
Single family,2012-04-05,47.67352097,-122.3977794,PUGETSOUNDSOLAR
Single family,2016-10-13,47.51882284,-122.37418164,PUGETSOUNDSOLAR
Single family,2015-01-02,47.63852645,-122.37064809,PUGETSOUNDSOLAR
Single family,2015-01-28,47.58598776,-122.38342586,PUGETSOUNDSOLAR
Single family,2018-03-16,47.70167286,-122.36008588,SWITCH ELECTRIC LLC
Single family,2014-07-09,47.67166931,-122.35755804,PUGETSOUNDSOLAR
Single family,2011-07-26,47.64372746,-122.35719279,SUNERGY SYSTEMS INC.
Single family,2015-01-27,47.54795979,-122.35543742,ARTISAN ELECTRIC INC
Single family,2016-05-16,47.51690547,-122.25542101,PRO-STAT ELECTRIC
Single family,2014-09-25,47.72048537,-122.36941789,PUGETSOUNDSOLAR
Single family,2011-06-08,47.67845624,-122.29818433,PUGETSOUNDSOLAR
Single family,2011-02-22,47.66440913,-122.32588342,PUGETSOUNDSOLAR
Single family,2011-04-25,47.66837158,-122.28601547,PUGETSOUNDSOLAR
Single family,2013-04-02,47.67369159,-122.39958939,GALAXY ELECTRIC & SOLAR LLC
Single family,2017-03-24,47.6917843,-122.34790574,"SMART ENERGY TODAY, INC"
Single family,2015-07-17,47.67075548,-122.27723212,FORECAST ROOFING & SOLAR
Single family,2015-11-16,47.58504189,-122.31467975,PUGETSOUNDSOLAR
Single family,2015-12-15,47.55959814,-122.28907273,PUGETSOUNDSOLAR
Single family,2009-04-29,47.58672749,-122.29529544,SUN BRIGHT ELECTRIC LLC
Single family,2018-04-11,47.51634875,-122.27451333,NA
Single family,2017-05-22,47.6717629,-122.2888178,SOLTERRA GLOBAL LLC
Single family,2017-09-07,47.69381199,-122.384715,ARTISAN ELECTRIC INC
Single family,2014-05-30,47.56615718,-122.37284297,WEST SEATTLE ELECTRIC & SOLAR
Single family,2014-07-25,47.64276086,-122.3871999,A&R SOLAR
Single family,2012-06-14,47.68972916,-122.28907796,PUGETSOUNDSOLAR
Single family,2015-01-28,47.55851148,-122.2832579,PUGETSOUNDSOLAR
Single family,2017-12-05,47.68790247,-122.37068283,PUGETSOUNDSOLAR
Single family,2016-03-09,47.67766642,-122.3607279,EARL CHILDS
Single family,2014-10-29,47.53463766,-122.38816741,ARTISAN ELECTRIC INC
Single family,2014-11-14,47.63647499,-122.39369959,AMBER ELECT TECHNOLOGIES INC
Single family,2018-04-27,47.68554946,-122.28928088,PUGETSOUNDSOLAR
