geoid,hu_own,hu_blt1970,hu_no_mor,hu_med_val,hu_ex_1000,edu,wh_race,hh_med_income,hh_gini_index,lihtc,hh_high_sf_own,hu_mwh,sol_instl,cluster
53033012100,0.6581439393939394,1.0236742424242424,0.3096590909090909,429300,0.7234848484848485,0.6600070101647388,0.784086926042762,110060,0.4242,FALSE,0.3800865800865801,63.16678174141441,15.151515151515152,3
53033000100,0.14427377017305074,0.3529068636982306,0.06591483569900836,410700,0.15535679564456542,0.5257299797629372,0.6082682856316854,44951,0.5406,TRUE,0.17360071834780005,85.78899216794896,1.74995139023916,2
53033000200,0.2739239448391141,0.49874634350188046,0.12661930631007104,342400,0.2538654408692018,0.5737396538750941,0.607850514171056,56208,0.4115,FALSE,0.17740080506037953,87.41934893114686,1.4625992478061012,1
53033000300,0.2504684572142411,0.547158026233604,0.1292941911305434,336300,0.24297314178638352,0.5009480470231323,0.7519908987485779,64297,0.4806,FALSE,0.24154135338345864,91.61722072900947,7.495315427857589,1
53033000401,0.1471730686232197,0.3129046180405697,0.06365990504963315,291400,0.13293051359516617,0.553072625698324,0.5989503978330794,32472,0.4875,TRUE,0.08964879852125693,96.4875091593114,0.6473888649115235,2
53033000402,0.2822085889570552,0.5276073619631901,0.07498295841854125,405400,0.27641445126107705,0.6600081532816959,0.7949449653485527,62726,0.4951,FALSE,0.2002664298401421,85.46609626194466,2.3858214042263124,1
53033000500,0.8773072747014115,1.236699239956569,0.40716612377850164,568400,1.0304017372421281,0.7132063074901446,0.8745072273324573,125400,0.3939,FALSE,0.4361088211046991,86.99028649726876,14.115092290988056,3
53033000600,0.26122534620226606,0.41691145614771297,0.10595887536718422,365000,0.24402014267729752,0.547302580140735,0.6563721657544958,60131,0.3974,FALSE,0.20158584934431228,88.70232928285049,1.8883759966428872,1
53033000700,0.2378106322743001,0.49166404529726326,0.10254797106008179,323700,0.2239698018244731,0.5410874897792314,0.6565821749795585,51741,0.4303,FALSE,0.19388235294117648,92.20825273771355,0.9436929852154766,1
53033000800,0.46203110704483075,0.7648673376029277,0.2250686184812443,419900,0.4364135407136322,0.6622436670687576,0.8459991958182549,87222,0.4161,FALSE,0.38057482656095143,96.73488487837392,4.574565416285453,3
53033000900,0.4844649021864212,0.7905638665132336,0.32796317606444186,628400,0.5914844649021864,0.7006595636732623,0.8356164383561644,125109,0.433,FALSE,0.44902912621359226,114.43264089680704,16.11047180667434,3
53033001e3,0.19658119658119658,0.3803418803418803,0.09401709401709402,415500,0.20584045584045585,0.555396370582617,0.559694364851958,69643,0.4346,FALSE,0.23859191655801826,95.39964184192007,2.849002849002849,1
53033001100,0.3855331841909023,0.6256524981357197,0.1506338553318419,395500,0.3877703206562267,0.6200824278756089,0.7246159610340952,64549,0.4275,FALSE,0.26854460093896715,90.0298587544437,5.965697240865025,1
