PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage, Install EVSE",2013-05-06,PUGET SOUND SOLAR LLC,210,Southeast Bellevue,Lake Hills,47.594508,-122.13925
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-02,ELECTRI-CITY INC,110,Bridle Trails,Bridle Trails,47.649872,-122.1606
2016,Single family,"A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station), 16-124088BS",2017-04-25,KWALITY ELECTRIC LLC,110,North Bellevue,Northwest Bellevue,47.622144,-122.198367
2015,Single family,Vehicle Charging Station,2016-07-15,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.538001,-122.114964
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install,2011-06-28,PRIME ELECTRIC INC,71,Newcastle,Cougar Mountain / Lakemont,47.557801,-122.133073
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-18,SEAHURST ELECTRIC INC,112,Southeast Bellevue,West Lake Sammamish,47.593012,-122.112162
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-04,NORTHWEST ELECTRIC & SOLAR,115,Eastgate,West Lake Sammamish,47.579791,-122.11702
2016,Single family,Install Vehicle Charging Station,2017-01-11,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Cougar Mountain / Lakemont,47.552953,-122.138964
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-25,A&R Solar,110,Bridle Trails,Bridle Trails,47.660133,-122.147036
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-11-15,MCKINSTRY CO LLC DEAN CHARLES ALLEN,102,Southeast Bellevue,Lake Hills,47.601295,-122.140281
2017,Multifamily,Install branch circuit for the vehicle charging station.,2017-04-03,TCE ELECTRIC,112,Wilburton/ne 8th St,Crossroads,47.617124,-122.145578
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2011-12-29,MCKINSTRY ELECTRIC,98,Newcastle,West Lake Sammamish,47.586503,-122.112986
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2018-12-04,KEITHLY ELECTRIC CO,115,Southeast Bellevue,West Lake Sammamish,47.601223,-122.111368
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2017-04-26,WILDERNESS ELECTRIC INC,112,Bridle Trails,Bridle Trails,47.639084,-122.17642
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (5 Vehicle Charging Station),2017-09-25,EAGLE ELECTRIC OF AUBURN LLC,112,Factoria,Somerset,47.560178,-122.163216
2015,Single family,Vehicle Charging Station,2015-04-27,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.550407,-122.134971
2015,Single family,Install 1 vehicle charging station,2015-04-23,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.580356,-122.197407
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-17,ELECTRI-CITY INC,112,Bridle Trails,Bridle Trails,47.632318,-122.167812
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-04-15,ACTIVE ENGINEERING,105,Northeast Bellevue,Northeast Bellevue,47.611911,-122.110443
2016,Single family,Vehicle charging station,2017-07-03,NORTHWEST ELECTRIC & SOLAR,110,Southeast Bellevue,Lake Hills,47.594976,-122.138563
